,user_id,item_id,rating,timestamp
0,0,50,5,881250949
1,0,172,5,881250949
2,0,133,1,881250949
3,196,242,3,881250949
4,186,302,3,891717742
5,22,377,1,878887116
6,244,51,2,880606923
7,166,346,1,886397596
8,298,474,4,884182806
9,115,265,2,881171488
10,253,465,5,891628467
11,305,451,3,886324817
12,6,86,3,883603013
13,62,257,2,879372434
14,286,1014,5,879781125
15,200,222,5,876042340
16,210,40,3,891035994
17,224,29,3,888104457
18,303,785,3,879485318
19,122,387,5,879270459
20,194,274,2,879539794
21,291,1042,4,874834944
22,234,1184,2,892079237
23,119,392,4,886176814
24,167,486,4,892738452
25,299,144,4,877881320
26,291,118,2,874833878
27,308,1,4,887736532
28,95,546,2,879196566
29,38,95,5,892430094
30,102,768,2,883748450
31,63,277,4,875747401
32,160,234,5,876861185
33,50,246,3,877052329
34,301,98,4,882075827
35,225,193,4,879539727
36,290,88,4,880731963
37,97,194,3,884238860
38,157,274,4,886890835
39,181,1081,1,878962623
40,278,603,5,891295330
41,276,796,1,874791932
42,7,32,4,891350932
43,10,16,4,877888877
44,284,304,4,885329322
45,201,979,2,884114233
46,276,564,3,874791805
47,287,327,5,875333916
48,246,201,5,884921594
49,242,1137,5,879741196
50,249,241,5,879641194
51,99,4,5,886519097
52,178,332,3,882823437
53,251,100,4,886271884
54,81,432,2,876535131
55,260,322,4,890618898
56,25,181,5,885853415
57,59,196,5,888205088
58,72,679,2,880037164
59,87,384,4,879877127
60,290,143,5,880474293
61,42,423,5,881107687
62,292,515,4,881103977
63,115,20,3,881171009
64,20,288,1,879667584
65,201,219,4,884112673
66,13,526,3,882141053
67,246,919,4,884920949
68,138,26,5,879024232
69,167,232,1,892738341
70,60,427,5,883326620
71,57,304,5,883698581
72,223,274,4,891550094
73,189,512,4,893277702
74,243,15,3,879987440
75,92,1049,1,890251826
76,246,416,3,884923047
77,194,165,4,879546723
78,241,690,2,887249482
79,178,248,4,882823954
80,254,1444,3,886475558
81,293,5,3,888906576
82,127,229,5,884364867
83,225,237,5,879539643
84,299,229,3,878192429
85,225,480,5,879540748
86,276,54,3,874791025
87,291,144,5,874835091
88,222,366,4,878183381
89,267,518,5,878971773
90,42,403,3,881108684
91,11,111,4,891903862
92,95,625,4,888954412
93,8,338,4,879361873
94,162,25,4,877635573
95,87,1016,4,879876194
96,279,154,5,875296291
97,145,275,2,885557505
98,119,1153,5,874781198
99,62,498,4,879373848
100,62,382,3,879375537
101,28,209,4,881961214
102,135,23,4,879857765
103,32,294,3,883709863
104,90,382,5,891383835
105,286,208,4,877531942
106,293,685,3,888905170
107,216,144,4,880234639
108,166,328,5,886397722
109,250,496,4,878090499
110,271,132,5,885848672
111,160,174,5,876860807
112,265,118,4,875320714
113,198,498,3,884207492
114,42,96,5,881107178
115,168,151,5,884288058
116,110,307,4,886987260
117,58,144,4,884304936
118,90,648,4,891384754
119,271,346,4,885844430
120,62,21,3,879373460
121,279,832,3,881375854
122,237,514,4,879376641
123,94,789,4,891720887
124,128,485,3,879966895
125,298,317,4,884182806
126,44,195,5,878347874
127,264,200,5,886122352
128,194,385,2,879524643
129,72,195,5,880037702
130,222,750,5,883815120
131,250,264,3,878089182
132,41,265,3,890687042
133,224,245,3,888082216
134,82,135,3,878769629
135,262,1147,4,879791710
